k,kernel,score
38,gaussian,0.8492870977326643
39,gaussian,0.8484129496328303
40,gaussian,0.8474958781736109
41,gaussian,0.8461780862733369
42,gaussian,0.8449306268832044
43,gaussian,0.8435235510159055
44,gaussian,0.842145294437971
45,gaussian,0.8406244760989094
46,gaussian,0.839224001592521
47,gaussian,0.8387770346997373
48,gaussian,0.8377648586787383
49,gaussian,0.8368177880354601
50,gaussian,0.8360681130495039
51,gaussian,0.8352476482252823
52,gaussian,0.8345452974990976
53,gaussian,0.8339557384662135
54,gaussian,0.8333546398489824
55,gaussian,0.8324924610138766
56,gaussian,0.831749371395978
57,gaussian,0.8312687493740155
58,gaussian,0.8303978219552868
59,gaussian,0.8297894937945308
60,gaussian,0.8291726323605179
61,gaussian,0.8286358970520372
62,gaussian,0.8280614373432502
63,gaussian,0.8274128936967381
64,gaussian,0.8270876030673608
65,gaussian,0.8265665468973596
66,gaussian,0.8263485076425777
67,gaussian,0.8262701454585639
68,gaussian,0.8258960957163647
69,gaussian,0.8249488727054723
70,gaussian,0.8246975795356399
71,gaussian,0.8243966002390112
72,gaussian,0.8242360978014525
73,gaussian,0.8240871042087538
74,gaussian,0.824000027620051
75,gaussian,0.8237357225282638
76,gaussian,0.823277118309708
77,gaussian,0.822896606259942
78,gaussian,0.8226411909315565
79,gaussian,0.8223345754196558
80,gaussian,0.8220165835696035
81,gaussian,0.8217275592871293
82,gaussian,0.8212346468162889
83,gaussian,0.8210289018182649
84,gaussian,0.8206777837100414
85,gaussian,0.8202935955237405
86,gaussian,0.8201309584830603
87,gaussian,0.8198182681796753
88,gaussian,0.81950571205242
89,gaussian,0.8193950633533894
90,gaussian,0.8193014678624363
91,gaussian,0.8191879088190219
92,gaussian,0.8190099930130957
93,gaussian,0.8187700023689607
94,gaussian,0.8186254636549913
95,gaussian,0.8183884064360594
96,gaussian,0.8182244645719393
97,gaussian,0.8177134234829928
98,gaussian,0.8176102776030342
99,gaussian,0.8174449820817106
1,triangular,0.8478039969300937
2,triangular,0.8878676858239087
3,triangular,0.902255942878118
4,triangular,0.9090170283485844
5,triangular,0.9123830738705614
6,triangular,0.9148488880971135
7,triangular,0.9172791942051478
8,triangular,0.9183298019784779
9,triangular,0.9190506627891945
10,triangular,0.9196595484368875
11,triangular,0.9198472296143168
12,triangular,0.9196782745172576
13,triangular,0.9200447133461027
14,triangular,0.9198759600638438
15,triangular,0.9196046605882849
16,triangular,0.91920720571007
17,triangular,0.9179661683618566
18,triangular,0.9158711119619807
19,triangular,0.91501683123416
20,triangular,0.9138606893489727
21,triangular,0.9113962115103873
22,triangular,0.9099245128235135
23,triangular,0.9085477942415717
24,triangular,0.9073342269513903
25,triangular,0.904946685644502
26,triangular,0.9039907557030502
27,triangular,0.9016501076684057
28,triangular,0.9003460777131794
29,triangular,0.8985754588807346
30,triangular,0.8979579712969535
31,triangular,0.8948534011666471
32,triangular,0.8933333053138809
33,triangular,0.8910993016490767
34,triangular,0.890196443478524
35,triangular,0.8883889813685053
36,triangular,0.8867369973138144
37,triangular,0.8850314425330519
38,triangular,0.8828212745184598
39,triangular,0.882233935336142
40,triangular,0.880843138804404
41,triangular,0.879490319416242
42,triangular,0.8783846408650701
43,triangular,0.8771165447704878
44,triangular,0.8754378855291728
45,triangular,0.8728654787021434
46,triangular,0.8708930554674269
47,triangular,0.8696819380584648
48,triangular,0.8682544343543823
49,triangular,0.8665310692651317
50,triangular,0.8654283761078101
51,triangular,0.8644369433834591
52,triangular,0.863400959109599
53,triangular,0.8626750478373476
54,triangular,0.8618741272978395
55,triangular,0.8606996907248291
56,triangular,0.8593427654273453
57,triangular,0.859125459233193
58,triangular,0.8578676837432
59,triangular,0.8567242491698965
60,triangular,0.8556217371690263
61,triangular,0.8552925074080708
62,triangular,0.8537515313341215
63,triangular,0.8525707499556533
64,triangular,0.8520625283317946
65,triangular,0.8515166098744986
66,triangular,0.8512053444062635
67,triangular,0.850792922423312
68,triangular,0.8500391465267796
69,triangular,0.8483900271882663
70,triangular,0.8476421682623764
71,triangular,0.8464965462439188
72,triangular,0.8460692484463563
73,triangular,0.845561299652049
74,triangular,0.8450379355254978
75,triangular,0.8441834962711584
76,triangular,0.8435997967066184
77,triangular,0.8433250886035207
78,triangular,0.8430154227755497
79,triangular,0.8426124273591824
80,triangular,0.8423515706388878
81,triangular,0.8418291714219934
82,triangular,0.8408029024795227
83,triangular,0.8406743289064853
84,triangular,0.8400859328219069
85,triangular,0.8395348590651566
86,triangular,0.8395501355887536
87,triangular,0.8390694524266431
88,triangular,0.8383326807513756
89,triangular,0.838218152522467
90,triangular,0.8381644848490964
91,triangular,0.8377988046252413
92,triangular,0.8374974587637556
93,triangular,0.8371626043271383
94,triangular,0.8370431076105355
95,triangular,0.836586738548968
96,triangular,0.8364128828013542
97,triangular,0.8356179502265318
98,triangular,0.8352563542932647
99,triangular,0.834779095084627
1,uniform,0.8478039969300937
2,uniform,0.8869680399892048
3,uniform,0.9003075361294197
4,uniform,0.9060786972988981
5,uniform,0.908690485739231
6,uniform,0.9099400732882312
7,uniform,0.9109944018471997
8,uniform,0.910269427475495
9,uniform,0.9099818759930214
10,uniform,0.9088511808789559
11,uniform,0.907750959986794
12,uniform,0.9060037339235189
13,uniform,0.904176373886097
14,uniform,0.9018223925306792
15,uniform,0.8987652495451879
16,uniform,0.8953217267914284
17,uniform,0.891957964896157
18,uniform,0.8886133240348975
19,uniform,0.8847280120349537
20,uniform,0.880656605719888
21,uniform,0.8768233368598812
22,uniform,0.872806310740851
23,uniform,0.8690495268570653
24,uniform,0.8657435231234449
25,uniform,0.8628333805970897
26,uniform,0.8595886144796981
27,uniform,0.8568834479996458
28,uniform,0.8539467397128779
29,uniform,0.8514208062340296
30,uniform,0.8488081882452921
31,uniform,0.8468387029753527
32,uniform,0.8450411504538369
33,uniform,0.8434958300422434
34,uniform,0.8421490047049192
35,uniform,0.8408104259072432
36,uniform,0.8391775351515247
37,uniform,0.837962587760523
38,uniform,0.8367835928961993
39,uniform,0.8358659331496954
